name,id,uri
"UNITED NATURAL FOODS, INC.",https://rdf.gleif.org/L1/L-549300GKGW6WPZ282D40,https://company.org/resource/United%20Natural%20Foods%2C%20Inc.
"THE TJX COMPANIES, INC.",https://rdf.gleif.org/L1/L-V167QI9I69W364E2DY52,https://company.org/resource/TJX%20Companies
ADP,https://rdf.gleif.org/L1/L-969500IY667JOE7ERR52,https://company.org/resource/ADP%20%28company%29
TE Connectivity Ltd.,https://rdf.gleif.org/L1/L-894500ZRIX9K13RHXR17,https://company.org/resource/TE%20Connectivity%20Ltd.
"DUPONT DE NEMOURS, INC.",https://rdf.gleif.org/L1/L-5493004JF0SDFLM8GD76,https://company.org/resource/DuPont%20%28182-217%29%20and%20DuPont%20de%20Nemours%2C%20Inc.
Broadcom Inc.,https://rdf.gleif.org/L1/L-549300WV6GIDOZJTV909,https://company.org/resource/Broadcom%20Inc.
"PRUDENTIAL FINANCIAL, INC.",https://rdf.gleif.org/L1/L-5PRBRS5FEH7NREC8OR45,https://company.org/resource/Prudential%20Financial%2C%20Inc.
ADOBE INC.,https://rdf.gleif.org/L1/L-FU4LY2G4933NH2E1CP29,https://company.org/resource/Adobe%20Inc.
HCA Healthcare Inc.,https://rdf.gleif.org/L1/L-529900PH4ZGUH2MNEU89,https://company.org/resource/HCA%20Healthcare%2C%20Inc.
"AMERICAN INTERNATIONAL GROUP, INC.",https://rdf.gleif.org/L1/L-ODVCVCQG2BP6VHV36M30,https://company.org/resource/American%20International%20Group%2C%20Inc.
ABBOTT LABORATORIES,https://rdf.gleif.org/L1/L-549300I73MX1K4BJJV80,https://company.org/resource/Abbott%20Laboratories
MASTERCARD INCORPORATED,https://rdf.gleif.org/L1/L-AR5L2ODV9HN37376R084,https://company.org/resource/Mastercard%20Inc.
COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,https://rdf.gleif.org/L1/L-5493006IEVQEFQO40L83,https://company.org/resource/Cognizant%20Technology%20Solutions%20Corporation
BUNGE LIMITED,https://rdf.gleif.org/L1/L-5493007M0RIN8HY3MM77,https://company.org/resource/Bunge%20Limited
VISA INC.,https://rdf.gleif.org/L1/L-549300JZ4OKEHW3DPJ59,https://company.org/resource/Visa%20Inc.
GLAXOSMITHKLINE LLC,https://rdf.gleif.org/L1/L-549300Y2PZWSSLJYI255,https://company.org/resource/GlaxoSmithKline
NUCOR CORPORATION,https://rdf.gleif.org/L1/L-549300GGJCRSI2TIEJ46,https://company.org/resource/Nucor%20Corporation
BorgWarner Inc.,https://rdf.gleif.org/L1/L-549300DSFX2IE88NSX47,https://company.org/resource/BorgWarner%20Inc.
"GILEAD SCIENCES, INC.",https://rdf.gleif.org/L1/L-549300WTZWR07K8MNV44,https://company.org/resource/Gilead%20Sciences%2C%20Inc.
